Ubs,V;Ibs,A;Isun,A;Ipt1,A;Ipt2,A;Ipt3,A;Ipt4,A;Ipt5,A;Ipt6,A;Ipt7,A;Ipt10,A;Ipt11,A;Ipt12,A;Ipt13,A;Ipt14,A;Ipt15,A;Ipt16,A;Ipt17,A;TR1,C;TR2,C;TR3,C;TR4,C;TR5,C;TR6,C;TR7,C;TR8,C;TR9,C;TR10,C;TR11,C;TR12,C;TR13,C;TR14,C;TR15,C;TR16,C;TDS1,C;TDS2,C;TDS3,C;TDS4,C;TDS5,C;TDS6,C;TDS7,C;TDS8,C;TDS9,C;TKpt,C;TGbv,C;TNap,C;TPrd2,C;TPrd1,C;TDS24,C;Class
14,76;0,21;0,64;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;22;20;18;10;12;17;18;16;15;17;12;18;22;20;19;19;19;19;19;19;19;19;19;19;26;18;17;19;19;22;0
14,76;0,24;0,43;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;20;20;18;10;12;17;18;16;15;16;12;18;22;20;21;19;19;19;19;19;19;19;19;19;26;18;17;19;19;22;0
14,76;0,21;0,40;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;22;20;18;10;12;17;18;16;15;16;14;18;22;20;18;19;19;19;19;19;19;19;19;19;26;18;17;19;19;22;0
14,83;0,24;0,77;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;22;20;18;10;12;17;18;16;15;16;12;20;22;20;19;19;19;19;19;19;19;19;19;19;26;18;17;20;19;22;0
14,69;0,24;0,00;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;22;20;18;10;12;17;18;16;13;11;12;17;20;18;16;19;19;19;19;19;19;19;19;19;26;18;18;20;19;22;0
14,63;0,27;0,00;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;22;20;18;10;12;15;17;14;13;4;11;15;19;18;13;19;19;19;19;19;19;19;19;19;26;18;18;20;19;22;0
14,56;0,24;0,00;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;148;22;19;18;10;12;14;15;14;12;-1;11;13;19;17;11;19;19;19;19;19;19;19;19;19;26;18;18;20;20;22;0
14,56;0,27;0,00;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;22;19;18;10;12;12;15;13;12;-4;11;13;17;15;10;19;19;19;19;19;19;19;19;19;26;18;18;20;20;22;0
14,50;0,24;0,00;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;22;19;17;10;12;12;14;12;11;-7;11;12;17;15;10;19;19;19;19;19;19;19;19;19;26;18;18;20;20;22;0
14,50;0,24;0,00;0,07;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;22;17;17;9;11;11;14;12;11;-10;11;12;16;13;10;19;19;19;19;19;19;19;19;19;26;18;18;20;20;22;0
14,50;0,24;0,00;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;22;17;17;9;11;11;12;12;9;-13;9;12;16;13;8;19;19;19;19;19;19;19;19;19;26;18;18;20;20;22;0
14,50;0,24;0,00;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;22;17;15;9;11;11;12;10;9;-15;11;10;14;12;8;19;19;19;19;19;19;19;19;19;26;18;18;20;20;22;0
14,50;0,24;0,00;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23;22;16;15;9;10;10;11;10;8;-18;9;10;14;12;6;19;19;19;19;19;19;19;19;19;26;18;18;20;20;22;0
